Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|16/01/2025|Vente|82000,00|85|B|CRS|1490|DE VERDUN|1100|OYONNAX|01|283||AN|149||51|69,43|86||||||||2|2|Appartement||68|3|||
|||||||000001|03/01/2025|Vente|260000,00|21||RUE|0032|DE GROGNIER|1420|SEYSSEL|01|407||AB|209||||||||||||0|1|Maison||78|4|S||18
|||||||000001|03/01/2025|Vente|260000,00||||B022|GROGNIER|1420|SEYSSEL|01|407||AB|210||||||||||||0||||||S||41
|||||||000001|03/01/2025|Vente|260000,00|23||RUE|0032|DE GROGNIER|1420|SEYSSEL|01|407||AB|211||||||||||||0||||||S||144
|||||||000001|03/01/2025|Vente|260000,00||||B022|GROGNIER|1420|SEYSSEL|01|407||AB|286||||||||||||0||||||S||67
|||||||000001|03/01/2025|Vente|260000,00||||B018|COTE MANDALE|1420|SEYSSEL|01|407||AB|289||||||||||||0||||||P||1124
|||||||000001|15/01/2025|Vente|600000,00||||B093|SUR FLORIMONT|1170|GEX|01|173||C|567||||||||||||0||||||BR|SAPIN|1858
|||||||000001|15/01/2025|Vente|600000,00||||B093|SUR FLORIMONT|1170|GEX|01|173||C|570||||||||||||0||||||BR|SAPIN|15
|||||||000001|15/01/2025|Vente|600000,00||||B093|SUR FLORIMONT|1170|GEX|01|173||C|572||||||||||||0||||||S||48
|||||||000001|15/01/2025|Vente|600000,00||||B093|SUR FLORIMONT|1170|GEX|01|173||C|573||||||||||||0||||||S||8
|||||||000001|15/01/2025|Vente|600000,00|1071||RTE|0412|IMPERIALE|1170|GEX|01|173||C|574||||||||||||0|3|Dépendance||0|0|S||802
|||||||000001|15/01/2025|Vente|600000,00|1071||RTE|0412|IMPERIALE|1170|GEX|01|173||C|574||||||||||||0|1|Maison||98|4|S||802
|||||||000001|15/01/2025|Vente|600000,00||||B093|SUR FLORIMONT|1170|GEX|01|173||C|577||||||||||||0||||||S||99
|||||||000001|15/01/2025|Vente|600000,00||||B093|SUR FLORIMONT|1170|GEX|01|173||C|578||||||||||||0||||||S||61
|||||||000001|15/01/2025|Vente|600000,00||||B093|SUR FLORIMONT|1170|GEX|01|173||C|579||||||||||||0||||||S||4
|||||||000001|15/01/2025|Vente|600000,00||||B093|SUR FLORIMONT|1170|GEX|01|173||C|584||||||||||||0||||||S||7
|||||||000001|23/01/2025|Vente en l'état futur d'achèvement|13000,00||||B025|LONGES RAYES|1170|CESSY|01|71||AP|221||46||||||||||1||||||||
|||||||000001|16/01/2025|Vente|550698,00||||B070|LE VILLAGE|1170|ECHENEVEX|01|153||AO|166||||||||||||0||||||P||226
|||||||000001|16/01/2025|Vente|550698,00|136||RUE|0205|DU STADE|1170|ECHENEVEX|01|153||AO|236||||||||||||0|3|Dépendance||0|0|S||454
|||||||000001|16/01/2025|Vente|550698,00|136||RUE|0205|DU STADE|1170|ECHENEVEX|01|153||AO|236||||||||||||0|1|Maison||88|4|S||454
|||||||000001|16/01/2025|Vente|550698,00|136||RUE|0205|DU STADE|1170|ECHENEVEX|01|153||AO|236||||||||||||0|1|Maison||17|1|S||454
|||||||000001|16/01/2025|Vente|550698,00|5683||RUE|0205|DU STADE|1170|ECHENEVEX|01|153||AO|240||3||||||||||1|3|Dépendance||0|0|||
|||||||000001|16/01/2025|Vente|550698,00|5683||RUE|0205|DU STADE|1170|ECHENEVEX|01|153||AO|240||1||||||||||1|3|Dépendance||0|0|||
|||||||000001|16/01/2025|Vente|550698,00|5683||RUE|0205|DU STADE|1170|ECHENEVEX|01|153||AO|240||9||||||||||1|3|Dépendance||0|0|||
|||||||000001|16/01/2025|Vente|550698,00||||B070|LE VILLAGE|1170|ECHENEVEX|01|153||AO|241||||||||||||0||||||S||10
|||||||000001|10/01/2025|Vente|345000,00|24||RUE|0020|DE CHAMP RION|1580|SONTHONNAX-LA-MONTAGNE|01|410||AC|146||||||||||||0|3|Dépendance||0|0|S||774
|||||||000001|10/01/2025|Vente|345000,00|24||RUE|0020|DE CHAMP RION|1580|SONTHONNAX-LA-MONTAGNE|01|410||AC|146||||||||||||0|1|Maison||190|6|S||774
|||||||000001|10/01/2025|Vente|345000,00||||B105|HEYRIAT|1580|SONTHONNAX-LA-MONTAGNE|01|410||AC|149||||||||||||0||||||P||120
|||||||000001|03/01/2025|Vente|215000,00||||B024|BOURSIN D EN BAS|1350|ANGLEFORT|01|10||AD|60||||||||||||0||||||J||221
|||||||000001|03/01/2025|Vente|215000,00|38||CHE|0099|DU SOUFFLET|1350|ANGLEFORT|01|10||AD|293||||||||||||0|1|Maison||112|4|S||341
|||||||000001|03/01/2025|Vente|215000,00|38||CHE|0099|DU SOUFFLET|1350|ANGLEFORT|01|10||AD|293||||||||||||0|3|Dépendance||0|0|S||341
|||||||000001|03/01/2025|Vente|215000,00||||B024|BOURSIN D EN BAS|1350|ANGLEFORT|01|10||AD|360||||||||||||0||||||J||119
|||||||000001|03/01/2025|Vente|215000,00||||B024|BOURSIN D EN BAS|1350|ANGLEFORT|01|10||AD|361||||||||||||0||||||S||28
|||||||000001|03/01/2025|Vente|215000,00||||B024|BOURSIN D EN BAS|1350|ANGLEFORT|01|10||AD|362||||||||||||0||||||S||8
|||||||000001|03/01/2025|Vente|215000,00||||B024|BOURSIN D EN BAS|1350|ANGLEFORT|01|10||AD|363||||||||||||0||||||S||113
|||||||000001|03/01/2025|Vente|215000,00||||B024|BOURSIN D EN BAS|1350|ANGLEFORT|01|10||AD|364||||||||||||0||||||S||221
|||||||000001|03/01/2025|Vente|21000,00||||B188|LES RENARDIERES|1300|ARBOYS EN BUGEY|01|15||B|597||||||||||||0||||||P||6514
|||||||000001|03/01/2025|Vente|21000,00||||B188|LES RENARDIERES|1300|ARBOYS EN BUGEY|01|15||B|598||||||||||||0||||||P||2885
|||||||000001|03/01/2025|Vente|21000,00||||B188|LES RENARDIERES|1300|ARBOYS EN BUGEY|01|15||B|599||||||||||||0||||||P||3125
|||||||000001|03/01/2025|Vente|21000,00||||B188|LES RENARDIERES|1300|ARBOYS EN BUGEY|01|15||B|599||||||||||||0||||||P||3125
|||||||000001|03/01/2025|Vente|21000,00||||B255|AU VIGNOU|1300|ARBOYS EN BUGEY|01|15||B|600||||||||||||0||||||P||1369
|||||||000001|03/01/2025|Vente|21000,00||||B255|AU VIGNOU|1300|ARBOYS EN BUGEY|01|15||B|600||||||||||||0||||||P||1369
|||||||000001|03/01/2025|Vente|21000,00||||B181|EN QATRE RUE|1300|ARBOYS EN BUGEY|01|15||B|601||||||||||||0||||||P||4759
|||||||000001|03/01/2025|Vente|21000,00||||B181|EN QATRE RUE|1300|ARBOYS EN BUGEY|01|15||B|601||||||||||||0||||||P||4759
|||||||000001|03/01/2025|Vente|21000,00||||B181|EN QATRE RUE|1300|ARBOYS EN BUGEY|01|15||B|602||||||||||||0||||||BT||895
|||||||000001|03/01/2025|Vente|21000,00||||B181|EN QATRE RUE|1300|ARBOYS EN BUGEY|01|15||B|603||||||||||||0||||||BT||3595
|||||||000001|03/01/2025|Vente|21000,00||||B221|TERRE COLLET|1300|ARBOYS EN BUGEY|01|15||B|683||||||||||||0||||||P||5155
|||||||000001|03/01/2025|Vente|21000,00||||B154|LA PICHONNIERE|1300|ARBOYS EN BUGEY|01|15||C|111||||||||||||0||||||P||1208
|||||||000001|03/01/2025|Vente|21000,00||||B188|LES RENARDIERES|1300|ARBOYS EN BUGEY|01|15||C|141||||||||||||0||||||L||2093
|||||||000001|03/01/2025|Vente|21000,00||||B154|LA PICHONNIERE|1300|ARBOYS EN BUGEY|01|15||ZC|37||||||||||||0||||||T||2985
|||||||000001|03/01/2025|Vente|21000,00||||B154|LA PICHONNIERE|1300|ARBOYS EN BUGEY|01|15||ZC|37||||||||||||0||||||T||2985
|||||||000001|03/01/2025|Vente|150,00||||B084|AUX OINTES|1350|CULOZ-BEON|01|138||AI|109||||||||||||0||||||BT||956
|||||||000001|20/01/2025|Vente en l'état futur d'achèvement|417500,00||||B017|LES CONTAMINES|1170|GEX|01|173||AK|211||4|77,65|||||||||1||||||||
|||||||000001|20/01/2025|Vente en l'état futur d'achèvement|417500,00||||B017|LES CONTAMINES|1170|GEX|01|173||AK|211||68|25,71|||||||||1||||||||
|||||||000001|14/01/2025|Vente|285000,00|67||RUE|0260|DE LA CROIX DE PIERRE|1400|NEUVILLE-LES-DAMES|01|272||D|386||||||||||||0|1|Maison||105|4|AG||1007
|||||||000001|14/01/2025|Vente|285000,00|67||RUE|0260|DE LA CROIX DE PIERRE|1400|NEUVILLE-LES-DAMES|01|272||D|386||||||||||||0|1|Maison||105|4|S||700
|||||||000001|14/01/2025|Vente|285000,00||||B054|LA CROIX DE PIERRE|1400|NEUVILLE-LES-DAMES|01|272||D|452||||||||||||0||||||P||1157
|||||||000001|15/01/2025|Vente|80000,00||||B018|LE GLERON|1500|BETTANT|01|41||AE|858||||||||||||0||||||S||60
|||||||000001|15/01/2025|Vente|80000,00||||B018|LE GLERON|1500|BETTANT|01|41||AE|860||||||||||||0||||||S||567
|||||||000001|08/01/2025|Vente|277000,00||||B103|SAINT JEAN LE VIEUX|1640|SAINT-JEAN-LE-VIEUX|01|363||AB|672||||||||||||0||||||S||142
|||||||000001|08/01/2025|Vente|277000,00|208||ALL|0099|DE LA CAPINIERE|1640|SAINT-JEAN-LE-VIEUX|01|363||AB|688||||||||||||0|1|Maison||97|4|S||397
|||||||000001|08/01/2025|Vente|277000,00||||B103|SAINT JEAN LE VIEUX|1640|SAINT-JEAN-LE-VIEUX|01|363||AB|697||||||||||||0||||||S||65
|||||||000001|10/01/2025|Vente|13460,00||||B081|MOUCHILLON|1340|ATTIGNAT|01|24||AE|68||||||||||||0||||||J|FLOR|2692
|||||||000002|10/01/2025|Vente|6500,00||||B016|LE CARRE|1800|SAINT-MAURICE-DE-GOURDANS|01|378||D|2778||||||||||||0||||||AB||4
|||||||000001|09/01/2025|Vente|165000,00|141||CHE|0024|DES OASSATS|1340|ATTIGNAT|01|24||AE|67||1||||||||||1|1|Maison||115|3|||
