Index,Valeur fonciere,Commune,Code departement,Section,Nombre de lots,Surface reelle bati
915,134000.0,NICE,6,LB,1,-1.0060174793909435
917,115000.0,NICE,6,LT,1,-0.4504383517883566
919,139000.0,NICE,6,IW,1,-0.7282279155896502
920,360000.0,NICE,6,LS,2,-0.2073724834622248
925,850000.0,NICE,6,LD,3,1.5288122902958596
926,230000.0,NICE,6,LT,1,-0.6587805246393268
929,260000.0,NICE,6,LR,2,0.24403555771487714
931,150000.0,NICE,6,NC,2,-0.7282279155896502
932,333000.0,NICE,6,KX,1,0.13986447128939208
934,163000.0,NICE,6,IY,1,-0.31154356988770987
941,170000.0,NICE,6,OC,1,0.41765403509068555
942,170000.0,NICE,6,OC,1,-0.06847770156157805
944,295000.0,NICE,6,ED,2,0.4523777305658473
945,400000.0,NICE,6,LE,1,0.2787592531900388
948,200000.0,NICE,6,MY,2,0.41765403509068555
949,147000.0,NICE,6,KZ,1,-0.51988574273868
952,335000.0,NICE,6,KW,1,0.2787592531900388
955,210000.0,NICE,6,HA,2,-0.5546094382138417
959,139500.0,NICE,6,NS,2,0.03569338486390701
961,364800.0,NICE,6,KT,2,1.5288122902958596
962,317000.0,NICE,6,KY,2,0.2787592531900388
966,169000.0,NICE,6,HZ,2,0.0009696893887453212
970,115000.0,NICE,6,HZ,2,-0.06847770156157805
973,404000.0,NICE,6,CI,2,0.41765403509068555
975,120000.0,NICE,6,LS,1,-0.41571465631319493
977,63288.23,NICE,6,ED,2,-0.41571465631319493
978,226000.0,NICE,6,LW,3,-0.4504383517883566
984,465000.0,NICE,6,LE,1,0.2787592531900388
988,225000.0,NICE,6,ND,2,-0.8671226974902969
989,251750.0,NICE,6,IX,2,0.03569338486390701
992,457000.0,NICE,6,LE,2,0.5565488169913323
996,535000.0,NICE,6,LW,2,0.5565488169913323
997,535000.0,NICE,6,MP,1,-0.41571465631319493
999,535000.0,NICE,6,MP,2,-0.41571465631319493
1000,535000.0,NICE,6,MP,3,0.0009696893887453212
1002,236000.0,NICE,6,IY,1,-0.38099096083803324
1003,941500.0,NICE,6,HB,2,3.785852496181369
1006,83000.0,NICE,6,HD,2,-1.2143596522419138
1007,643010.0,NICE,6,KW,1,0.38293033961552386
1010,213200.0,NICE,6,IW,1,-0.624056829164165
1012,279000.0,NICE,6,ED,1,-0.41571465631319493
1013,907100.0,NICE,6,IV,3,1.8066018540971531
1021,102000.0,NICE,6,MH,1,-1.1449122612915903
1024,185000.0,NICE,6,HI,2,0.24403555771487714
1027,886000.0,NICE,6,NB,2,1.494088594820698
1031,551450.0,NICE,6,HK,2,0.7996146853174642
1033,75000.0,NICE,6,HD,1,-0.9712937839157819
1034,217000.0,NICE,6,MV,1,-0.41571465631319493
1037,240000.0,NICE,6,LX,2,-0.06847770156157805
1039,155000.0,NICE,6,IY,2,-1.179635956766752
1043,200000.0,NICE,6,LK,2,-0.10320139703673974
1044,167000.0,NICE,6,CT,2,-0.8671226974902969
1045,229000.0,NICE,6,NX,2,0.03569338486390701
1051,335200.0,NICE,6,LW,1,0.5565488169913323
1056,255000.0,NICE,6,LO,1,0.20931186223971546
1058,284720.0,NICE,6,LR,1,0.24403555771487714
1061,87000.0,NICE,6,LB,1,-1.4921492160432073
1063,380000.0,NICE,6,MP,2,0.695443598891979
1068,135000.0,NICE,6,KO,1,-0.8671226974902969
