Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|28/02/2025|Vente|40000,00|7||AV|0970|BROWN SEQUART|6000|NICE|06|88||LR|184||124||||||||||1|3|Dépendance||0|0|||
|||||||000001|12/02/2025|Vente|215000,00|3||AV|3000|GRAVIER|6100|NICE|06|88||EI|67||219||260|48,63|||||||2|3|Dépendance||0|0|||
|||||||000001|12/02/2025|Vente|215000,00|3||AV|3000|GRAVIER|6100|NICE|06|88||EI|67||219||260|48,63|||||||2|2|Appartement||59|2|||
|||||||000001|12/02/2025|Vente|215000,00|3||AV|3000|GRAVIER|6100|NICE|06|88||EI|67||247||||||||||1|3|Dépendance||0|0|||
|||||||000001|12/02/2025|Vente|345000,00|69||PROM|0240|DES ANGLAIS|6000|NICE|06|88||MO|167||14||95|28,78|||||||2|2|Appartement||31|1|||
|||||||000001|07/02/2025|Vente|218000,00|5||RUE|5240|DE LA PREFECTURE|6300|NICE|06|88||KS|290||11|49,06|||||||||1|2|Appartement||36|3|||
|||||||000001|24/02/2025|Vente|370000,00|44||BD|4483|NAPOLEON III|6200|NICE|06|88||NB|139||600||||||||||1|3|Dépendance||0|0|||
|||||||000001|24/02/2025|Vente|370000,00|44||BD|4483|NAPOLEON III|6200|NICE|06|88||NB|139||508||748|60,77|||||||2|2|Appartement||62|2|||
|||||||000001|24/02/2025|Vente|370000,00|44||BD|4483|NAPOLEON III|6200|NICE|06|88||NB|139||508||748|60,77|||||||2|3|Dépendance||0|0|||
|||||||000001|27/02/2025|Vente|178000,00|11||RUE|3322|JEAN ANDRE|6300|NICE|06|88||IR|333||35|53,52|||||||||1|2|Appartement||53|3|||
|||||||000001|27/02/2025|Vente|178000,00|11||RUE|3322|JEAN ANDRE|6300|NICE|06|88||IR|333||44||||||||||1|3|Dépendance||0|0|||
|||||||000001|27/02/2025|Vente|750000,00|29||RUE|2595|DE FRANCE|6000|NICE|06|88||KV|151||414|81,65|656||660||||||3|2|Appartement||82|3|||
|||||||000001|27/02/2025|Vente|750000,00|29||RUE|2595|DE FRANCE|6000|NICE|06|88||KV|151||414|81,65|656||660||||||3|3|Dépendance||0|0|||
|||||||000001|27/02/2025|Vente|750000,00|29||RUE|2595|DE FRANCE|6000|NICE|06|88||KV|151||414|81,65|656||660||||||3|3|Dépendance||0|0|||
|||||||000001|03/03/2025|Vente en l'état futur d'achèvement|170000,00|||RUE|3115|GUSTAVE DELOYE|6000|NICE|06|88||LC|107||25||||||||||1||||||||
|||||||000001|03/03/2025|Vente en l'état futur d'achèvement|170000,00|||RUE|3115|GUSTAVE DELOYE|6000|NICE|06|88||LC|107||26||||||||||1||||||||
